87667	6	20000101	20100101
Time_Day	APCP	TMP	SPFH	UGRD	DSWRF
705.375	7.248	7.01	0.9564	2.96	0
705.416666666667	12.2016	6.58	0.9657	2.52	0
705.458333333333	7.296	6.16	0.9742	2.07	0
705.5	8.8992	5.73	0.9831	1.63	0
705.541666666667	2.9088	5.81	0.9779	1.08	0
705.583333333333	1.7088	5.88	0.9734	0.53	0
705.625	1.0656	5.96	0.9681	0.02	0
705.666666666667	1.7088	6.83	0.9497	0.06	46.352
705.708333333333	0	7.71	0.9299	0.14	108.084
705.75	0.3024	8.59	0.9097	0.22	309.746
705.791666666667	0	9.65	0.877	0.77	373.631
705.833333333333	0	10.7	0.8455	1.31	382.195
705.875	0	11.76	0.8142	1.85	426
705.916666666667	2.2272	11.44	0.8307	1.78	354.752
705.958333333333	0.6336	11.12	0.8475	1.71	250.384
706	0	10.8	0.8647	1.63	64.116
706.041666666667	0	9.21	0.8788	1.32	0
706.083333333333	0	7.61	0.8872	1.01	0
706.125	0	6.02	0.8869	0.7	0
706.166666666667	0	5.55	0.8832	0.76	0
706.208333333333	0	5.09	0.8777	0.81	0
706.25	0	4.62	0.8717	0.87	0
706.291666666667	0	4.55	0.8563	0.67	0
706.333333333333	0	4.48	0.8407	0.47	0
706.375	0	4.41	0.825	0.28	0
706.416666666667	0	4.4	0.7947	0.03	0
706.458333333333	0	4.38	0.765	0.34	0
